Efficiency,VarOM,FixOM,CAPEX,Life,Capacity MW,CO2,Cost,
0.34,0,3000,320000,25,5000,0.25,28.1,Disel
0.35,7.36,5000,480000,30,8000,0.181,12.11,OCGT
0.53,2.32,10910,726000,30,25000,0.181,12.11,CCGT
0.39,3.17,26840,2083000,35,25000,0.318,5.74,Coal
