wind ,Efficiency,VarOM,FixOM,CAPEX,Life,capacity,period,W1,W2,W3,W4,W5,W6
,,,,,,,63,0.349205545,0.3180775,0.198979583,0.135866538,0.21058,0.793123466
,,,,,,,64,0.332995182,0.3180775,0.198979583,0.135866538,0.21058,0.785888809
,,,,,,,65,0.316784818,0.29246625,0.18367625,0.134697308,0.201516,0.783624549
,,,,,,,66,0.295114682,0.29246625,0.18367625,0.134697308,0.201516,0.781370397
,,,,,,,67,0.273444545,0.2671425,0.163170833,0.133500385,0.193846,0.790190614
,,,,,,,68,0.254170818,0.2671425,0.163170833,0.133500385,0.193846,0.799020939
,,,,,,,69,0.234897091,0.25340125,0.147853333,0.125263077,0.188087,0.783584116
,,,,,,,70,0.221112682,0.25340125,0.147853333,0.125263077,0.188087,0.768158123
,,,,,,,71,0.207328273,0.25303125,0.140534167,0.114533077,0.178454,0.7829213
,,,,,,,72,0.207363227,0.25303125,0.140534167,0.114533077,0.178454,0.797694585
,,,,,,,73,0.207398182,0.2543925,0.15871125,0.110206154,0.166793,0.80474657
,,,,,,,74,0.210453955,0.2543925,0.15871125,0.110206154,0.166793,0.811808664
,,,,,,,75,0.213509727,0.3179855,0.135360417,0.102116923,0.173371,0.789948014
,,,,,,,76,0.203868318,0.3179855,0.135360417,0.102116923,0.173371,0.768098195
,,,,,,,77,0.194226909,0.3684925,0.12797125,0.092126538,0.196303,0.72873213
,,,,,,,78,0.182167182,0.3684925,0.12797125,0.092126538,0.196303,0.689375451
,,,,,,,79,0.170107455,0.38879125,0.12269,0.082516,0.223468,0.65145704
,,,,,,,80,0.156687227,0.38879125,0.12269,0.082516,0.223468,0.613547292
,,,,,,,81,0.143267,0.46254625,0.164105833,0.077445,0.253006,0.586553069
,,,,,,,82,0.129475955,0.46254625,0.164105833,0.077445,0.253006,0.559566787
,,,,,,,83,0.115684909,0.6834675,0.232517917,0.076739308,0.272194,0.543656318
,,,,,,,84,0.105521114,0.6834675,0.232517917,0.076739308,0.272194,0.527752347
,,,,,,,85,0.095357318,0.78175,0.329277083,0.088547692,0.319248,0.531756679
,,,,,,,86,0.087864095,0.78175,0.329277083,0.088547692,0.319248,0.535768231
,,,,,,,87,0.080370873,0.7703,0.373140417,0.103564923,0.313928,0.536400722
,,,,,,,88,0.074622655,0.7703,0.373140417,0.103564923,0.313928,0.537039711
,,,,,,,89,0.068874436,0.73445,0.370763333,0.111954846,0.282958,0.538634657
,,,,,,,90,0.064492723,0.73445,0.370763333,0.111954846,0.282958,0.540237545
,,,,,,,91,0.060111009,0.65656625,0.353615167,0.126463846,0.2455,0.545205054
,,,,,,,92,0.056411395,0.65656625,0.353615167,0.126463846,0.2455,0.550179783
,,,,,,,93,0.052711782,0.5619075,0.339953667,0.142106538,0.204722,0.555308303
,,,,,,,94,0.052138509,0.5619075,0.339953667,0.142106538,0.204722,0.560443321
,,,,,,,95,0.051565236,0.45139,0.330765,0.187788462,0.176361,0.562841155
,,,,,,,96,0.053203909,0.45139,0.330765,0.187788462,0.176361,0.565246209
,,,,,,,97,0.054842582,0.3469,0.3247185,0.246751692,0.156588,0.565555957
,,,,,,,98,0.056255082,0.3469,0.3247185,0.246751692,0.156588,0.561056318
,,,,,,,99,0.057667582,0.26120875,0.308265833,0.257003462,0.130155,0.553177617
,,,,,,,100,0.057019191,0.26120875,0.308265833,0.257003462,0.130155,0.545306137
,,,,,,,101,0.0563708,0.2049075,0.273855417,0.232744231,0.118447,0.532771119
,,,,,,,102,0.055380927,0.2049075,0.273855417,0.232744231,0.118447,0.520243321
,,,,,,,103,0.054391055,0.15508875,0.239527917,0.197901692,0.148921,0.494703249
,,,,,,,104,0.053649036,0.15508875,0.239527917,0.197901692,0.148921,0.469170397
